customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnFlag,TenureGroup,MonthlyChargeBand,ServiceCount,ContractRisk,EstimatedCustomerValue,ChurnProbability,PredictedChurn,RiskBand,MonthlyChargesAtRisk
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0,0-12 Months,Low,1,High Contract Risk,29.85,0.6439555932840153,Yes,High Risk,29.85
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,0,25-48 Months,Medium,3,Medium Contract Risk,1936.3000000000002,0.05245765976145426,No,Low Risk,0.0
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,0-12 Months,Medium,3,High Contract Risk,107.7,0.3281073914238328,No,Medium Risk,0.0
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,0,25-48 Months,Medium,3,Medium Contract Risk,1903.4999999999998,0.051566166066127433,No,Low Risk,0.0
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,0-12 Months,High,1,High Contract Risk,141.4,0.6703239316412379,Yes,High Risk,70.7
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,0-12 Months,High,5,High Contract Risk,797.2,0.7855232933935657,Yes,High Risk,99.65
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,0,13-24 Months,High,4,High Contract Risk,1960.1999999999998,0.39904934790242674,No,Medium Risk,0.0
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0,0-12 Months,Low,1,High Contract Risk,297.5,0.18605032054338544,No,Low Risk,0.0
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,25-48 Months,Very High,6,High Contract Risk,2934.4,0.5633253345603957,Yes,Medium Risk,0.0
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,0,61+ Months,Medium,3,Medium Contract Risk,3481.2999999999997,0.04590915279894372,No,Low Risk,0.0
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,0,13-24 Months,Medium,2,High Contract Risk,649.35,0.1753002408480543,No,Low Risk,0.0
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0,13-24 Months,Low,1,Low Contract Risk,303.2,0.03000982566520201,No,Low Risk,0.0
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0,49-60 Months,Very High,5,Medium Contract Risk,5820.299999999999,0.1886315682324716,No,Low Risk,0.0
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,49-60 Months,Very High,6,High Contract Risk,5081.3,0.42720409380217256,No,Medium Risk,0.0
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,0,25-48 Months,Very High,6,High Contract Risk,2637.5,0.4624279211955873,No,Medium Risk,0.0
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0,61+ Months,Very High,8,Low Contract Risk,7814.25,0.05110599835945034,No,Low Risk,0.0
