Feature,Importance
tenure,0.05730062776098588
Contract,0.04996150765971743
InternetService,0.01183962386008428
TechSupport,0.005212999560825704
OnlineSecurity,0.004889043891601452
MonthlyCharges,0.003816941796481443
PaymentMethod,0.0033573587537781835
MultipleLines,0.002187863287607583
PaperlessBilling,0.0020016016946963642
TotalCharges,0.0016022113720323805
SeniorCitizen,0.000828489498566265
OnlineBackup,0.0005440595210416399
Dependents,0.00036968146942575333
TenureGroup,0.00031491384432562607
StreamingMovies,0.0002784882068769923
StreamingTV,0.00019969516133202525
ServiceCount,5.1409232994936714e-05
EstimatedCustomerValue,4.5467462347259514e-05
gender,0.0
PhoneService,0.0
Partner,0.0
DeviceProtection,0.0
MonthlyChargeBand,0.0
