Ticker,Month,MonthCumulativeRange
NVDA,2024-05,5.320281565226011
NVDA,2024-07,5.219605827894284
NVDA,2024-08,5.204535652708458
NVDA,2025-01,5.191950064916231
NVDA,2025-11,5.003843746347954
NVDA,2025-05,4.6180936234793215
NVDA,2025-10,4.556715349851348
NVDA,2024-10,4.471705320250809
NVDA,2025-07,4.348811736473635
NVDA,2025-02,3.9261923858282373
NVDA,2024-09,3.5523798088852807
NVDA,2025-06,3.452851592329136
NVDA,2024-06,3.446724651045127
NVDA,2025-04,3.3522219607428756
NVDA,2025-12,3.2808182489101796
NVDA,2025-09,3.2771835793106874
NVDA,2024-12,2.715679635508458
NVDA,2024-02,2.6923206718631683
NVDA,2024-01,2.545023701234765
NVDA,2025-03,2.4613936422098064
NVDA,2024-04,2.413070978834579
NVDA,2024-11,2.266824834987851
NVDA,2024-03,2.130328775588284
NVDA,2023-05,2.0998864966197077
NVDA,2025-08,1.5807764655783743
NVDA,2022-04,1.495413278774865
NVDA,2023-08,1.422494160739351
NVDA,2022-01,1.3667881745166475
NVDA,2023-11,1.352986547688226
NVDA,2021-11,1.2616625923915894
NVDA,2023-09,1.2597645725373008
NVDA,2022-03,1.2247507808360156
NVDA,2023-10,1.107795553036813
NVDA,2023-06,1.059841735625172
NVDA,2023-01,1.0205697261350726
NVDA,2021-10,0.9752021528821686
NVDA,2023-07,0.9021953058587897
NVDA,2023-03,0.8505389409446229
NVDA,2021-12,0.7869424686745061
NVDA,2023-12,0.7655999910349927
NVDA,2022-06,0.7405664923293163
NVDA,2022-02,0.7217550280076397
AAPL,2025-04,0.7078211595184829
NVDA,2022-05,0.6988062133895565
GOOGL,2025-11,0.6919716549856698
NVDA,2022-08,0.6890892674469411
NVDA,2022-12,0.6752490590745861
GOOGL,2025-10,0.6607794440009487
GOOGL,2025-09,0.6408990379653599
NVDA,2021-06,0.629295718729336
NVDA,2022-11,0.6202687580745074
NVDA,2021-08,0.6095823107623293
NVDA,2022-07,0.608658114691242
META,2022-02,0.5937171345000545
GOOGL,2025-02,0.5555328837258142
NVDA,2023-02,0.5034257529404411
META,2025-10,0.49555257992042145
META,2025-04,0.4853548048668448
AMZN,2022-04,0.46432838607074656
META,2024-04,0.46369146689542484
META,2024-02,0.4570028182928645
META,2025-01,0.45425019681236245
NVDA,2022-10,0.43605693419205127
NVDA,2021-05,0.4308942113276042
AAPL,2025-08,0.42983256124365754
NVDA,2021-07,0.4240162906967231
GOOGL,2022-04,0.4217490800182919
NVDA,2020-08,0.42135272336072416
META,2025-05,0.4173932159481235
AAPL,2025-09,0.4146760765085058
META,2024-07,0.41318393717618873
NVDA,2020-09,0.4062849495158092
AAPL,2025-03,0.40417503758401585
NVDA,2022-09,0.395745944535427
NVDA,2021-09,0.3887437945348675
NVDA,2021-04,0.3885030200864157
AMZN,2025-11,0.3884068219453378
AAPL,2022-05,0.3852553480357457
AAPL,2022-03,0.38352111529702615
META,2025-03,0.38088168856605487
META,2025-02,0.3788371439978233
NVDA,2021-03,0.3755098446972778
META,2025-07,0.3749602578075022
GOOGL,2024-12,0.3742090667085649
NVDA,2020-03,0.3674825622627673
AAPL,2020-09,0.3666198412566879
AAPL,2025-10,0.3602221397167922
GOOGL,2025-12,0.3583578187218732
GOOGL,2024-07,0.3537384678012301
