Ticker,Period,AvgRollingVolatility
AAPL,2020-2021,0.33514985060028935
AAPL,2022-2023,0.27615105391647077
AAPL,2024-2025,0.2522072464341457
AMZN,2020-2021,0.3062679709539108
AMZN,2022-2023,0.40438942400175315
AMZN,2024-2025,0.29752863268863877
GOOGL,2020-2021,0.2927469019024088
GOOGL,2022-2023,0.33817433156977167
GOOGL,2024-2025,0.2902148807114831
META,2020-2021,0.36446156095078575
META,2022-2023,0.48546277161508355
META,2024-2025,0.3396768362931644
MSFT,2020-2021,0.2940852710422969
MSFT,2022-2023,0.30033215028763205
MSFT,2024-2025,0.2086798745297307
NVDA,2020-2021,0.4771189488692732
NVDA,2022-2023,0.5423380966814396
NVDA,2024-2025,0.47838693553943706
SPY,2020-2021,0.19713134829203444
SPY,2022-2023,0.18421518619624913
SPY,2024-2025,0.14075515507968467
