Ticker,DayOfWeek,AverageDailyReturn
AAPL,Monday,0.0024777173392705994
AAPL,Tuesday,0.0016746180143813838
AAPL,Wednesday,0.0012619737465900877
AAPL,Friday,0.0008039354621070733
AAPL,Thursday,-0.0007568727599754075
AMZN,Monday,0.0015193379391140118
AMZN,Wednesday,0.0013830145038477197
AMZN,Tuesday,0.0012346621811989199
AMZN,Thursday,0.0001644836729886424
AMZN,Friday,-6.980717966258108e-05
GOOGL,Wednesday,0.0019227844242172645
GOOGL,Monday,0.0014967532741966304
GOOGL,Tuesday,0.0013167260571191708
GOOGL,Friday,0.0010393016354258524
GOOGL,Thursday,0.00033890647386213175
META,Monday,0.0017308952523468688
META,Wednesday,0.0016631580950694702
META,Tuesday,0.0014389566849074438
META,Friday,0.000649159408332084
META,Thursday,0.0002868555536885227
MSFT,Wednesday,0.002282129275711311
MSFT,Monday,0.0008434389072608966
MSFT,Tuesday,0.0005855762251739052
MSFT,Friday,0.0005718439651437829
MSFT,Thursday,0.00038217098146148704
NVDA,Monday,0.004366312161214831
NVDA,Thursday,0.003680563611615264
NVDA,Wednesday,0.003422560836575714
NVDA,Tuesday,0.0026782107057062533
NVDA,Friday,0.00016480472825090438
SPY,Monday,0.0011401341668642467
SPY,Wednesday,0.0009051812588193785
SPY,Tuesday,0.0007463639754174195
SPY,Friday,0.0006151806476799482
SPY,Thursday,-0.00020383184163290407
