CLIENT_ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT,SexLabel,EducationLabel,MarriageLabel,AgeGroup,LimitBand,AvgBillAmount,AvgPaymentAmount,TotalBillAmount,TotalPaymentAmount,RecentDelinquencyCount,SevereDelinquencyCount,MaxRepaymentDelay,AvgRepaymentStatus,RepaymentTrend,BillUtilization,LatestUtilization,PaymentToBillRatio,RecentPaymentToBillRatio,BillTrend,PaymentTrend
1,20000,2,2,1,24,2,2,-1,-1,-2,-2,3913,3102,689,0,0,0,0,689,0,0,0,0,1,Female,University,Married,18-24,<=50K,1284.0,114.83333333333333,7704,689,2,2,2,-0.3333333333333333,4,0.0642,0.19565,0.08942245295262817,0.08942245295262817,3913,0
2,120000,2,2,2,26,-1,2,0,0,0,2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,1,Female,University,Single,25-34,100K-200K,2846.1666666666665,833.3333333333334,17077,5000,2,2,2,0.5,-3,0.023718055555555555,0.02235,0.29277432954678534,0.2820874471086037,-579,-2000
3,90000,2,2,2,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,0,Female,University,Single,25-34,50K-100K,16942.166666666668,1836.3333333333333,101653,11018,0,0,0,0.0,0,0.1882462962962963,0.32487777777777777,0.10838727448009916,0.0707070707070707,13690,-3482
4,50000,2,2,1,37,0,0,0,0,0,0,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,0,Female,University,Married,35-44,<=50K,38555.666666666664,1398.0,231334,8388,0,0,0,0.0,0,0.7711133333333333,0.9398,0.03625910476149307,0.03611389821125835,17443,1000
5,50000,1,2,1,57,-1,0,-1,0,0,0,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,0,Male,University,Married,55-64,<=50K,18223.166666666668,9841.5,109339,59049,0,0,0,-0.3333333333333333,-1,0.36446333333333336,0.17234,0.5400493872324859,0.9712307723001417,-10514,1321
6,50000,1,1,2,37,0,0,0,0,0,0,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,0,Male,Graduate School,Single,35-44,<=50K,39685.666666666664,1295.3333333333333,238114,7772,0,0,0,0.0,0,0.7937133333333333,1.288,0.03263969090565483,0.02776443784272775,44376,1700
7,500000,1,1,2,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,0,Male,Graduate School,Single,25-34,300K-500K,454099.1666666667,30126.5,2724595,180759,0,0,0,0.0,0,0.9081983333333333,0.73593,0.0663434138492459,0.10857178309153663,-105979,41230
8,100000,2,2,2,23,0,-1,-1,0,0,-1,11876,380,601,221,-159,567,380,601,0,581,1687,1542,0,Female,University,Single,18-24,50K-100K,2247.6666666666665,798.5,13486,4791,0,0,0,-0.5,1,0.022476666666666666,0.11876,0.3552309631496997,0.07629491367242183,11309,-1162
9,140000,2,3,1,28,0,0,2,0,0,0,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,0,Female,High School,Married,25-34,100K-200K,10868.666666666666,1126.8333333333333,65212,6761,1,1,2,0.3333333333333333,0,0.07763333333333333,0.08060714285714286,0.10367564749359791,0.10032008535609496,7566,2329
10,20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,13007,13912,0,0,0,13007,1122,0,0,Male,High School,Single,35-44,<=50K,4486.5,2354.8333333333335,26919,14129,0,0,-1,-1.6666666666666667,-1,0.224325,0.0,0.524851411589896,0.0,-13912,0
11,200000,2,3,2,34,0,0,2,0,0,-1,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,66,0,Female,High School,Single,25-34,100K-200K,5744.5,1078.6666666666667,34467,6472,1,1,2,0.16666666666666666,1,0.0287225,0.055365,0.18776836486016016,0.08971056220639491,7342,2240
