CLIENT_ID,LIMIT_BAL,LimitBand,AGE,AgeGroup,SexLabel,EducationLabel,MarriageLabel,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,AvgBillAmount,AvgPaymentAmount,RecentDelinquencyCount,SevereDelinquencyCount,MaxRepaymentDelay,AvgRepaymentStatus,RepaymentTrend,BillUtilization,LatestUtilization,PaymentToBillRatio,RecentPaymentToBillRatio,DEFAULT,PredictedDefaultProbability,RiskBand,BestF1ThresholdFlag
1,20000,<=50K,24,18-24,Female,University,Married,2,2,-1,-1,-2,-2,1284.0,114.83333333333333,2,2,2,-0.3333333333333333,4,0.0642,0.19565,0.08942245295262817,0.08942245295262817,1,0.8501581658171954,High,1
2,120000,100K-200K,26,25-34,Female,University,Single,-1,2,0,0,0,2,2846.1666666666665,833.3333333333334,2,2,2,0.5,-3,0.023718055555555555,0.02235,0.29277432954678534,0.2820874471086037,1,0.6502154584063387,High,1
3,90000,50K-100K,34,25-34,Female,University,Single,0,0,0,0,0,0,16942.166666666668,1836.3333333333333,0,0,0,0.0,0,0.1882462962962963,0.32487777777777777,0.10838727448009916,0.0707070707070707,0,0.241056211134799,Medium,0
4,50000,<=50K,37,35-44,Female,University,Married,0,0,0,0,0,0,38555.666666666664,1398.0,0,0,0,0.0,0,0.7711133333333333,0.9398,0.03625910476149307,0.03611389821125835,0,0.35811460319842064,Medium,0
5,50000,<=50K,57,55-64,Male,University,Married,-1,0,-1,0,0,0,18223.166666666668,9841.5,0,0,0,-0.3333333333333333,-1,0.36446333333333336,0.17234,0.5400493872324859,0.9712307723001417,0,0.19220244886830698,Low,0
6,50000,<=50K,37,35-44,Male,Graduate School,Single,0,0,0,0,0,0,39685.666666666664,1295.3333333333333,0,0,0,0.0,0,0.7937133333333333,1.288,0.03263969090565483,0.02776443784272775,0,0.3989178019172096,Medium,0
7,500000,300K-500K,29,25-34,Male,Graduate School,Single,0,0,0,0,0,0,454099.1666666667,30126.5,0,0,0,0.0,0,0.9081983333333333,0.73593,0.0663434138492459,0.10857178309153663,0,0.18525695062721748,Low,0
8,100000,50K-100K,23,18-24,Female,University,Single,0,-1,-1,0,0,-1,2247.6666666666665,798.5,0,0,0,-0.5,1,0.022476666666666666,0.11876,0.3552309631496997,0.07629491367242183,0,0.31912982725878214,Medium,0
9,140000,100K-200K,28,25-34,Female,High School,Married,0,0,2,0,0,0,10868.666666666666,1126.8333333333333,1,1,2,0.3333333333333333,0,0.07763333333333333,0.08060714285714286,0.10367564749359791,0.10032008535609496,0,0.5127223540851384,High,1
10,20000,<=50K,35,35-44,Male,High School,Single,-2,-2,-2,-2,-1,-1,4486.5,2354.8333333333335,0,0,-1,-1.6666666666666667,-1,0.224325,0.0,0.524851411589896,0.0,0,0.27544396300243096,Medium,0
11,200000,100K-200K,34,25-34,Female,High School,Single,0,0,2,0,0,-1,5744.5,1078.6666666666667,1,1,2,0.16666666666666666,1,0.0287225,0.055365,0.18776836486016016,0.08971056220639491,0,0.4831931195723155,Medium,0
12,260000,200K-300K,51,45-54,Female,Graduate School,Single,-1,-1,-1,-1,-1,2,14728.166666666666,11051.333333333334,1,1,2,-0.5,-3,0.05664679487179487,0.04715769230769231,0.75034513975331,0.9195635336461798,0,0.249292005139347,Medium,0
13,630000,500K+,41,35-44,Female,University,Single,-1,0,-1,-1,-1,-1,6834.5,3895.0,0,0,0,-0.8333333333333334,0,0.0108484126984127,0.019265079365079363,0.5698888021849395,0.5569257697509746,0,0.20652354845226953,Medium,0
14,70000,50K-100K,30,25-34,Male,University,Single,1,2,2,0,0,2,56447.5,1783.3333333333333,4,3,2,1.1666666666666667,-1,0.8063928571428571,0.9400285714285714,0.031592684669575946,0.03117567492822052,1,0.7777806120464981,High,1
15,250000,200K-300K,29,25-34,Male,Graduate School,Single,0,0,0,0,0,0,62265.166666666664,3000.0,0,0,0,0.0,0,0.24906066666666665,0.283548,0.048180903231332575,0.04466301753271566,0,0.13084290020915978,Low,0
16,50000,<=50K,23,18-24,Female,High School,Other,1,2,0,0,0,0,32736.0,1033.3333333333333,2,1,2,0.5,1,0.65472,1.01228,0.03156549585830147,0.024095492289442466,0,0.5920471831636666,High,1
17,20000,<=50K,24,18-24,Male,Graduate School,Single,0,0,2,2,2,2,17693.5,1058.3333333333333,4,4,2,1.3333333333333333,-2,0.884675,0.7688,0.059814246152107155,0.09249237429892748,1,0.7992641394318699,High,1
18,320000,300K-500K,49,45-54,Male,Graduate School,Married,0,0,0,-1,-1,-1,161002.33333333334,60316.166666666664,0,0,0,-0.5,1,0.5031322916666667,0.79151875,0.37462875835261356,0.13866082253637943,0,0.18572562807052256,Low,0
19,360000,300K-500K,49,45-54,Female,Graduate School,Married,1,-2,-2,-2,-2,-2,0.0,0.0,1,0,1,-1.5,3,0.0,0.0,0.0,0.0,0,0.7269159582261334,High,1
20,180000,100K-200K,29,25-34,Female,Graduate School,Single,1,-2,-2,-2,-2,-2,0.0,0.0,1,0,1,-1.5,3,0.0,0.0,0.0,0.0,0,0.6817095280587026,High,1
21,130000,100K-200K,39,35-44,Female,High School,Single,0,0,0,0,0,-1,20647.166666666668,7038.5,0,0,0,-0.16666666666666666,1,0.15882435897435898,0.2950615384615385,0.34089147912563367,0.06115799240081294,0,0.18767005755763497,Low,0
22,120000,100K-200K,39,35-44,Female,University,Married,-1,-1,-1,-1,-1,-1,316.0,263.3333333333333,0,0,-1,-1.0,0,0.0026333333333333334,0.0026333333333333334,0.8328940432261466,0.6659641728134879,1,0.5883353964866318,High,1
23,70000,50K-100K,26,25-34,Female,University,Single,2,0,0,2,2,2,44245.833333333336,1835.0,4,4,2,1.3333333333333333,0,0.6320833333333333,0.5869571428571428,0.041472675496090045,0.043476231593195025,1,0.9256263564679525,High,1
24,450000,300K-500K,40,35-44,Female,Graduate School,Married,-2,-2,-2,-2,-2,-2,4494.166666666667,3764.8333333333335,0,0,-2,-2.0,0,0.009987037037037037,0.012248888888888889,0.8376844915819921,0.8127319548587443,1,0.30885136194443474,Medium,0
25,90000,50K-100K,23,18-24,Male,Graduate School,Single,0,0,0,-1,0,0,5310.666666666667,2733.3333333333335,0,0,0,-0.16666666666666666,0,0.05900740740740741,0.05271111111111111,0.5146712694178566,0.9441388066017774,0,0.26189411441360194,Medium,0
26,50000,<=50K,23,18-24,Male,High School,Single,0,0,0,0,0,0,35715.833333333336,1315.1666666666667,0,0,0,0.0,0,0.7143166666666667,0.9524,0.036822899167506626,0.03507261625775185,0,0.361193398436503,Medium,0
27,60000,50K-100K,27,25-34,Male,Graduate School,Single,1,-2,-1,-1,-1,-1,-65.66666666666667,416.6666666666667,1,0,1,-0.8333333333333334,2,-0.0010944444444444445,-0.0018166666666666667,5.0,3.6231884057971016,1,0.4810555227824805,Medium,0
28,50000,<=50K,30,25-34,Female,High School,Single,0,0,0,0,0,0,18711.333333333332,1185.3333333333333,0,0,0,0.0,0,0.37422666666666665,0.45082,0.06334785203395417,0.06446645058467489,0,0.2901310471325025,Medium,0
29,50000,<=50K,47,45-54,Female,High School,Married,-1,-1,-1,-1,-1,-1,6701.333333333333,6594.5,0,0,-1,-1.0,0,0.13402666666666666,0.013,0.984033425352533,1.1868484362469929,0,0.3180534569688736,Medium,0
30,50000,<=50K,26,25-34,Male,Graduate School,Single,0,0,0,0,0,0,16180.333333333334,1100.0,0,0,0,0.0,0,0.32360666666666665,0.30658,0.06798306603627824,0.08097002084978037,0,0.29895809931774997,Medium,0
31,230000,200K-300K,27,25-34,Female,Graduate School,Single,-1,-1,-1,-1,-1,-1,18957.666666666668,16248.166666666666,0,0,-1,-1.0,0,0.08242463768115943,0.07237391304347826,0.85706875785735,0.972699139429395,0,0.1281457993689158,Low,0
32,50000,<=50K,33,25-34,Male,University,Single,2,0,0,0,0,0,25311.5,1155.6666666666667,1,1,2,0.3333333333333333,2,0.50623,0.61036,0.045657470204780407,0.05128953416262357,1,0.8962950060173341,High,1
33,100000,50K-100K,32,25-34,Male,Graduate School,Single,0,0,0,0,0,0,82539.5,3124.0,0,0,0,0.0,0,0.825395,0.93036,0.03784846881701323,0.03783251534686216,0,0.256063670529369,Medium,0
34,500000,300K-500K,54,45-54,Female,University,Married,-2,-2,-2,-2,-2,-2,20957.333333333332,26417.0,0,0,-2,-2.0,0,0.04191466666666666,0.021858,1.260503399737564,0.9126018410750185,0,0.1468131643159314,Low,0
35,500000,300K-500K,58,55-64,Male,Graduate School,Married,-2,-2,-2,-2,-2,-2,9719.666666666666,7570.833333333333,0,0,-2,-2.0,0,0.019439333333333333,0.027418,0.778905673965603,0.7897123139268948,0,0.17856338398529975,Low,0
36,160000,100K-200K,30,25-34,Male,Graduate School,Single,-1,-1,-2,-2,-2,-1,4218.666666666667,380.0,0,0,-1,-1.5,0,0.02636666666666667,0.18915625,0.09007229486824951,0.031174007025128344,0,0.33689682500214374,Medium,0
37,280000,200K-300K,40,35-44,Male,University,Married,0,0,0,0,0,0,178329.5,6987.166666666667,0,0,0,0.0,0,0.6368910714285714,0.6660821428571428,0.03918117942611904,0.04083143944230229,0,0.17908774557294624,Low,0
38,60000,50K-100K,22,18-24,Female,University,Single,0,0,0,0,0,-1,5379.833333333333,8891.5,0,0,0,-0.16666666666666666,1,0.08966388888888889,0.2509,1.6526951672862453,0.1408611428094297,0,0.3162952676984317,Medium,0
39,50000,<=50K,25,25-34,Male,Graduate School,Single,1,-1,-1,-2,-2,-2,130.0,130.0,1,0,1,-1.1666666666666667,3,0.0026,0.0,0.998719590268886,0.998719590268886,1,0.5973843030922285,High,1
40,280000,200K-300K,31,25-34,Male,Graduate School,Single,-1,-1,2,-1,0,-1,8607.166666666666,6226.166666666667,1,1,2,-0.3333333333333333,0,0.03073988095238095,0.0017785714285714286,0.7233560529780807,1.3402040098487513,0,0.3692991087578344,Medium,0
41,360000,300K-500K,33,25-34,Male,Graduate School,Single,0,0,0,0,0,0,275125.1666666667,40640.0,0,0,0,0.0,0,0.7642365740740741,0.6074111111111111,0.1477144961811344,0.03555638005132486,0,0.2688603985760103,Medium,0
42,70000,50K-100K,25,25-34,Female,Graduate School,Single,0,0,0,0,0,0,65476.0,3223.6666666666665,0,0,0,0.0,0,0.9353714285714285,0.9645857142857143,0.04923419972152717,0.05815488486924976,0,0.2792760138400801,Medium,0
43,10000,<=50K,22,18-24,Male,University,Single,0,0,0,0,0,0,3793.5,1204.5,0,0,0,0.0,0,0.37935,0.1877,0.3175028556365873,0.4904654315408947,0,0.4096016192152898,Medium,0
44,140000,100K-200K,37,35-44,Female,University,Married,0,0,0,0,0,0,64189.0,3333.3333333333335,0,0,0,0.0,0,0.45849285714285715,0.4250285714285714,0.051929842782400974,0.04891995608075054,0,0.15626202854418353,Low,0
45,40000,<=50K,30,25-34,Female,Graduate School,Single,0,0,0,2,0,0,24530.833333333332,2166.6666666666665,1,1,2,0.3333333333333333,0,0.6132708333333333,0.473175,0.08832361773538244,0.12094823415578132,0,0.3981981466513846,Medium,0
46,210000,200K-300K,29,25-34,Male,Graduate School,Single,-2,-2,-2,-2,-2,-2,0.0,0.0,0,0,-2,-2.0,0,0.0,0.0,0.0,0.0,1,0.6376280752093425,High,1
47,20000,<=50K,22,18-24,Female,Graduate School,Single,0,0,2,-1,0,0,13221.333333333334,3345.8333333333335,1,1,2,0.16666666666666666,0,0.6610666666666667,0.7014,0.25306004109468166,0.4262518083475482,1,0.5340164102382663,High,1
48,150000,100K-200K,46,45-54,Female,Other,Single,0,0,-1,0,0,-2,1639.5,363.8333333333333,0,0,0,-0.5,2,0.01093,0.029753333333333333,0.2218946940435048,0.2518458698661744,1,0.4333723517034681,Medium,0
49,380000,300K-500K,32,25-34,Male,University,Single,-1,-1,-1,-1,-1,-1,19135.833333333332,15555.333333333334,0,0,-1,-1.0,0,0.05035745614035087,0.05895,0.8128832218506131,1.038577425688943,0,0.10773709134849899,Low,0
50,20000,<=50K,24,18-24,Male,Graduate School,Single,0,0,0,0,0,0,19301.666666666668,1041.0,0,0,0,0.0,0,0.9650833333333334,0.87235,0.0539327006933711,0.0602313954118008,0,0.38700848451472775,Medium,0
51,70000,50K-100K,42,35-44,Male,High School,Single,1,2,2,2,2,0,38168.666666666664,1350.0,5,4,2,1.5,1,0.5452666666666667,0.5291714285714286,0.03536917118242196,0.04571162240407282,1,0.7973048565670563,High,1
52,100000,50K-100K,43,35-44,Female,High School,Other,0,0,0,0,0,0,44197.5,1601.0,0,0,0,0.0,0,0.441975,0.61559,0.036223631715098084,0.03261640274166864,0,0.21428736428781228,Medium,0
53,310000,300K-500K,49,45-54,Female,University,Married,-2,-2,-2,-2,-2,-2,7354.166666666667,5111.333333333333,0,0,-2,-2.0,0,0.023723118279569893,0.04343548387096774,0.6950097448216471,0.9214391870874088,0,0.17082160927797965,Low,0
54,180000,100K-200K,25,25-34,Female,Graduate School,Single,1,2,0,0,0,0,43191.833333333336,1707.6666666666667,2,1,2,0.5,1,0.23995462962962966,0.2300111111111111,0.03953664258813361,0.04028498129512403,0,0.5292268413123322,High,1
55,150000,100K-200K,29,25-34,Female,Graduate School,Single,2,0,0,0,0,0,29458.5,2144.5,1,1,2,0.3333333333333333,2,0.19639,0.30816,0.07279691318910111,0.03876540141320172,0,0.8185602001322486,High,1
56,500000,300K-500K,45,45-54,Female,Graduate School,Married,-2,-2,-2,-2,-2,-2,1398.0,1080.5,0,0,-2,-2.0,0,0.002796,0.00381,0.7727977112885922,0.666082690960056,0,0.29656236455639057,Medium,0
57,180000,100K-200K,34,25-34,Female,High School,Married,0,0,0,-1,-1,-1,9234.0,4863.166666666667,0,0,0,-0.5,1,0.0513,0.09103333333333333,0.5266492193845321,0.43081164914699294,0,0.18141721923220067,Low,0
58,180000,100K-200K,34,25-34,Female,University,Married,0,0,0,0,0,0,158727.0,5677.0,0,0,0,0.0,0,0.8818166666666667,0.9771444444444445,0.035765774184843384,0.039552560698572756,0,0.27648238564018635,Medium,0
59,200000,100K-200K,34,25-34,Female,Graduate School,Single,-1,3,2,2,2,2,1124.5,316.6666666666667,5,5,3,1.6666666666666667,-3,0.0056225,0.007935,0.2815649081209247,0.20184544405997693,0,0.6826683427083405,High,1
60,400000,300K-500K,29,25-34,Female,University,Married,0,0,0,0,0,0,380690.0,18171.5,0,0,0,0.0,0,0.951725,1.000335,0.04773304274998785,0.05155348625370575,0,0.3358427995323969,Medium,0
61,500000,300K-500K,28,25-34,Female,High School,Married,0,0,0,0,0,0,18283.166666666668,1469.3333333333333,0,0,0,0.0,0,0.03656633333333333,0.045696,0.08036463081130356,0.058379866901246844,1,0.24114541375603235,Medium,0
62,70000,50K-100K,39,35-44,Male,University,Married,0,0,0,0,0,-1,40707.0,2020.0,0,0,0,-0.16666666666666666,1,0.5815285714285714,1.0114285714285713,0.04962271180750318,0.033458803847762446,0,0.33228107938896556,Medium,0
63,50000,<=50K,29,25-34,Male,Graduate School,Single,2,2,2,2,2,2,26279.0,1020.8333333333334,6,6,2,2.0,0,0.52558,0.49974,0.038845726970033294,0.035582967619499466,1,0.9276963753827707,High,1
64,50000,<=50K,46,45-54,Female,University,Married,0,0,0,-2,-2,-2,9647.333333333334,166.66666666666666,0,0,0,-1.0,2,0.19294666666666668,0.57436,0.01727563272004837,0.01727563272004837,1,0.4626714969145304,Medium,0
65,130000,100K-200K,51,45-54,Female,University,Married,-1,-1,-2,-2,-1,-1,408.6666666666667,392.1666666666667,0,0,-1,-1.3333333333333333,0,0.0031435897435897436,0.0007615384615384615,0.9592335915205871,0.0,0,0.482154406477078,Medium,0
66,200000,100K-200K,57,55-64,Male,Graduate School,Married,-2,-2,-2,-1,2,2,78272.66666666667,1587.0,2,2,2,-0.5,-4,0.39136333333333334,0.762595,0.020275233850825213,0.01846200827669211,1,0.5935701240610046,High,1
67,10000,<=50K,56,55-64,Male,University,Married,2,2,2,0,0,0,3808.6666666666665,501.6666666666667,3,3,2,1.0,2,0.38086666666666663,0.2097,0.1317113726862994,0.23858214042263123,1,0.8551942691784415,High,1
68,210000,200K-300K,30,25-34,Female,Graduate School,Single,2,-1,-1,-1,-1,-1,1431.5,1533.0,1,1,2,-0.5,3,0.006816666666666667,0.0014285714285714286,1.070779976717113,2.1244318181818183,0,0.4963446939027108,Medium,0
69,130000,100K-200K,29,25-34,Female,High School,Single,1,-2,-2,-1,2,-1,1316.8333333333333,6896.5,2,1,2,-0.5,2,0.010129487179487178,-0.0014615384615384616,5.0,1.0135739781810869,0,0.39235706225280714,Medium,0
70,20000,<=50K,22,18-24,Male,Other,Single,2,0,0,0,0,0,14721.0,616.6666666666666,1,1,2,0.3333333333333333,2,0.73605,0.92825,0.041889795872156875,0.04146640278955801,0,0.790708406511625,High,1
71,80000,50K-100K,31,25-34,Male,Graduate School,Single,-1,-1,-1,-1,-1,-1,390.0,325.0,0,0,-1,-1.0,0,0.004875,0.00975,0.8329773601025203,0.6660973526900086,0,0.5851001729334281,High,1
72,320000,300K-500K,29,25-34,Male,University,Single,2,2,2,2,2,2,60358.666666666664,2300.0,6,6,2,2.0,0,0.18862083333333332,0.182084375,0.03810544162273956,0.028137626760008555,1,0.9272170148971479,High,1
73,200000,100K-200K,32,25-34,Female,University,Married,-1,-1,-1,-1,2,-1,4404.166666666667,3252.0,1,1,2,-0.5,0,0.022020833333333333,0.04538,0.7383637326875048,1.053244005641749,0,0.33681385428004673,Medium,0
74,290000,200K-300K,37,35-44,Female,Graduate School,Single,1,-2,-1,-1,-1,-1,919.0,919.0,1,0,1,-0.8333333333333334,2,0.0031689655172413792,0.0,0.999818676337262,0.9996831432192649,0,0.4389445193474223,Medium,0
75,340000,300K-500K,32,25-34,Male,Graduate School,Single,-1,-1,-1,-1,-1,-1,23699.833333333332,23666.166666666668,0,0,-1,-1.0,0,0.06970539215686274,0.00896470588235294,0.9985724331926864,1.0483466933867736,0,0.15867178399193216,Low,0
76,20000,<=50K,24,18-24,Male,University,Single,0,0,2,0,0,0,16888.0,931.6666666666666,1,1,2,0.3333333333333333,0,0.8444,0.73095,0.05516683279219177,0.07137258137711952,0,0.5822586782457138,High,1
