Feature,ImportanceMean,ImportanceStd
PAY_0,0.05113060022600733,0.004703424093350345
SevereDelinquencyCount,0.020954294288044784,0.0036437949296631244
MaxRepaymentDelay,0.01563664973269041,0.004296098253674904
RecentDelinquencyCount,0.015566249475089378,0.0027020553913394267
AvgRepaymentStatus,0.011076850855823795,0.0030736891134301274
RepaymentTrend,0.003950100570727755,0.0008950223875748836
PaymentToBillRatio,0.0029303644430152876,0.0009556465160433989
LIMIT_BAL,0.0024832549300976003,0.0003014854316464116
BillUtilization,0.0023986943131037554,0.0003806917762569824
LatestUtilization,0.0020677720167764147,0.0009439931056358934
PAY_4,0.0019208623944243276,0.000551217091554884
BillTrend,0.0017331662705476925,0.0009574164435747778
RecentPaymentToBillRatio,0.0015213054619413803,0.0009225003869344459
PAY_5,0.0014974122897534192,0.0007391217552549545
PAY_2,0.0014430177860980775,0.0010714083334984104
PAY_3,0.000979228497518325,0.0008056192791841571
TotalPaymentAmount,0.0009704082014758475,0.0017038218614111962
PAY_6,0.0008698580515318355,0.00048523859219012206
TotalBillAmount,0.000618195670305921,0.0003297164890100065
BILL_AMT1,0.0005850794800638992,0.0007754961669063041
PAY_AMT5,0.00048409376614950707,0.0006744626879326387
BILL_AMT2,0.000416148166456165,0.00040473426787734885
AvgPaymentAmount,0.00034705767033405,0.0013914263053608077
AvgBillAmount,0.00022922864479413274,0.0002957651305084485
BILL_AMT3,0.0002247968869383943,0.000389421666125639
PAY_AMT2,0.00010481054499564824,0.0006149521623434386
PAY_AMT3,-7.745875365547939e-05,0.0017148410577581717
PAY_AMT1,-0.0001181374948422631,0.000544743578760513
PaymentTrend,-0.0001541956578807735,0.0004214042746215269
PAY_AMT4,-0.00027733110906356104,0.0005982806781327913
BILL_AMT6,-0.0003546960488380657,0.0007424073611209275
PAY_AMT6,-0.0004104359292672388,0.0011516703228930988
BILL_AMT5,-0.0005918694116127555,0.00019803402536296857
BILL_AMT4,-0.0006073926959645037,0.00022537061097159771
