CLIENT_ID,LIMIT_BAL,RecentDelinquencyCount,SevereDelinquencyCount,MaxRepaymentDelay,DEFAULT
1992,580000,6,6,6,0
25847,510000,6,6,8,1
4766,500000,6,5,2,1
6042,500000,6,6,2,1
15576,500000,6,6,2,1
25032,500000,6,6,3,1
9189,460000,6,6,5,1
20975,460000,6,6,2,1
22740,460000,6,6,3,1
12667,430000,6,6,2,1
19581,430000,6,6,2,1
2167,400000,6,6,3,1
10137,400000,6,6,2,0
11034,400000,6,5,2,1
12960,400000,6,6,7,1
18026,400000,6,6,2,0
13472,390000,6,6,2,1
4340,380000,6,6,2,0
9105,380000,6,6,2,1
19181,380000,6,4,2,0
22606,380000,6,6,2,0
989,360000,6,6,2,0
9756,360000,6,5,7,0
15419,360000,6,6,3,1
17235,360000,6,6,3,1
1250,350000,6,6,7,1
7045,350000,6,6,3,1
20238,350000,6,6,7,1
22637,350000,6,6,3,1
3046,330000,6,5,2,0
4336,330000,6,6,8,1
72,320000,6,6,2,1
11053,320000,6,5,2,0
13437,320000,6,6,2,1
13554,320000,6,6,4,1
22183,320000,6,5,2,1
23150,320000,6,6,2,0
29807,320000,6,6,2,1
4188,310000,6,5,2,1
17773,310000,6,6,2,0
7551,300000,6,5,2,1
7852,300000,6,5,5,1
11733,300000,6,6,2,1
12143,300000,6,5,2,0
13181,300000,6,5,2,1
19711,300000,6,6,2,0
19966,300000,6,6,3,1
21304,300000,6,6,2,1
27197,300000,6,6,2,1
27460,300000,6,6,2,1
22859,290000,6,6,2,1
113,280000,6,6,3,0
649,280000,6,6,2,1
3457,280000,6,5,2,1
10738,280000,6,6,2,1
12210,280000,6,6,3,1
12949,280000,6,6,2,1
18021,280000,6,6,2,1
23696,280000,6,6,4,1
24235,280000,6,6,2,0
436,270000,6,5,2,1
1133,270000,6,6,4,0
1373,270000,6,6,5,0
7526,270000,6,6,4,1
7806,270000,6,6,2,1
16945,270000,6,6,4,0
20708,270000,6,6,2,1
7575,260000,6,5,2,1
11068,260000,6,6,2,1
12012,260000,6,6,2,1
12796,260000,6,5,2,1
