CLIENT_ID,LIMIT_BAL,RecentDelinquencyCount,MaxRepaymentDelay,PaymentToBillRatio,DEFAULT
528,620000,2,2,0.031328097017095755,1
452,600000,2,2,0.03347381299468134,1
15374,600000,2,2,0.027899988263293696,0
15584,600000,3,2,0.0320877453983256,1
23395,600000,4,2,0.04354551750737164,0
1992,580000,6,6,0.040882463646136166,0
28980,580000,2,2,0.05158010496862239,1
20694,560000,2,2,0.2952615992102665,0
15664,550000,3,2,0.5601382069467176,0
20875,550000,5,2,0.028282289500454624,0
27442,550000,4,2,0.041842788245872786,1
4702,520000,2,2,0.026735517823328267,1
15345,520000,4,2,0.172823417619982,0
25847,510000,6,8,0.005106235223831821,1
361,500000,3,4,0.025797378166329193,1
408,500000,2,2,0.026235587131186854,0
1458,500000,3,2,0.547699010619951,1
2526,500000,2,2,0.6633945896587148,0
4295,500000,2,2,0.0936570746212742,0
4323,500000,3,2,0.02671698221103936,0
4766,500000,6,2,0.03320160456697536,1
5643,500000,2,1,0.4474611699368344,0
6042,500000,6,2,0.0,1
6372,500000,2,2,5.0,0
6779,500000,4,1,0.36322759237689134,0
7496,500000,2,2,0.27742959143197143,0
8101,500000,2,2,0.4999285816311955,1
9067,500000,2,2,0.03718165417527353,0
9275,500000,3,2,0.03235018865682284,0
9590,500000,2,2,0.773748370773595,0
10938,500000,2,2,0.0,1
11239,500000,4,2,0.03584022040236273,1
11501,500000,2,2,0.035290134653627916,0
13994,500000,2,1,1.256450009938382,0
14137,500000,2,2,0.06759126849840441,1
15576,500000,6,2,0.048250457189994635,1
19858,500000,2,2,0.10230473015690557,0
20564,500000,2,2,0.21443790436347715,0
20824,500000,3,2,0.03808282315696362,0
20903,500000,4,2,0.25018915263539604,1
21110,500000,3,2,0.5530581664623349,0
24756,500000,2,2,0.03588386907931913,0
25032,500000,6,3,0.0,1
25063,500000,3,2,0.03284931671358484,0
25125,500000,3,2,0.035171963724276105,1
26859,500000,2,2,0.5243013520034541,1
27472,500000,2,2,0.4401097226455349,0
27477,500000,2,2,0.03627377844088027,0
28186,500000,2,2,0.3271320381955877,0
28524,500000,2,2,0.09060749041580654,0
19829,490000,2,2,0.24068342798800332,0
21032,490000,2,2,0.027288171927756042,1
26893,490000,2,2,0.03707574342658655,0
27522,490000,2,2,0.6356541925286884,1
103,480000,2,2,0.047435798995732005,0
1596,480000,2,2,0.33377077175697867,0
215,470000,4,2,0.02780580771402708,0
17783,470000,2,2,0.03217729500629957,0
24706,470000,2,2,0.03027417905560052,0
27239,470000,2,2,0.029145653600299824,1
9189,460000,6,5,0.0,1
20975,460000,6,2,0.041519653200741594,1
22740,460000,6,3,0.012577825294006667,1
23206,460000,2,2,0.028787284312323455,1
25006,460000,2,2,0.051702699450483336,0
2915,450000,2,2,0.11973255328040117,0
7077,450000,2,2,0.06817041764483274,0
13793,450000,2,2,0.0,0
17956,450000,2,2,0.646131024252251,0
22645,450000,2,2,0.7573269327943406,0
24916,450000,2,2,0.03243348550541907,1
26363,450000,3,2,0.05507917740537812,0
27097,450000,4,2,0.019069833864902175,1
27508,450000,2,2,0.0,1
6023,440000,4,2,0.08983062459559243,1
9146,440000,3,3,0.5571955719557196,1
9467,440000,2,2,0.03609402059236063,1
14343,440000,2,2,0.8619081779053085,1
14411,440000,3,3,0.9386861313868613,1
19013,440000,3,2,0.03126806870358823,1
3844,430000,2,2,0.2181769359007351,0
12667,430000,6,2,0.03208363872716461,1
19581,430000,6,2,0.03988984309806977,1
19701,430000,3,2,0.1210611877831967,0
24645,430000,2,2,0.7119007870259957,0
2407,420000,3,2,0.024495338723262837,1
3633,420000,2,2,0.08472162078985998,1
11861,420000,2,2,0.07040133701079308,0
16508,420000,3,2,0.029215386058137366,1
18095,420000,3,2,0.9860411819854856,0
20714,420000,3,2,0.2059541684281112,0
24454,420000,2,2,0.01415653589566633,0
25585,420000,2,2,0.06285900075864312,0
27010,420000,3,2,0.07146556060393663,1
27267,420000,2,2,0.39561522354969825,0
27767,420000,3,2,0.03607183336006879,0
1012,410000,2,2,5.0,0
6991,410000,4,2,0.03825960684256517,0
8086,410000,3,2,0.028468331211723315,1
24614,410000,2,2,0.23112385149372666,1
24855,410000,5,2,0.03407712558064313,1
892,400000,4,2,0.21679425728629517,0
2167,400000,6,3,0.03589210254734191,1
4058,400000,2,2,0.48532959763405714,0
4673,400000,3,4,0.006739355622886392,1
5034,400000,2,2,0.10213730686525954,0
6046,400000,2,2,0.07308705328940335,0
7912,400000,2,2,0.7727965843244892,0
10048,400000,2,2,0.6118397473522369,1
10137,400000,6,2,0.034602735203362496,0
11034,400000,6,2,0.10857279990091039,1
12392,400000,2,2,0.03971001506944161,0
12496,400000,4,2,0.017768143647163243,0
12960,400000,6,7,0.019405117838962187,1
15689,400000,2,2,0.03713587999302285,1
16856,400000,4,2,0.41484198000631944,0
17477,400000,2,2,1.3413807708598051,0
18026,400000,6,2,0.04338563352738151,0
26050,400000,2,2,0.1795088393458553,0
29007,400000,3,2,0.33478492282382544,0
565,390000,5,2,1.0302587646076795,0
1679,390000,2,2,0.04332524880620766,0
3051,390000,2,2,0.06101594476523848,0
6726,390000,3,2,0.03829339027803829,1
7119,390000,2,2,0.026854190291233693,1
9188,390000,3,2,0.02785043286056364,0
13331,390000,2,2,0.2245981647435056,0
13472,390000,6,2,0.03094826305879873,1
17189,390000,3,2,0.03125871010932734,1
23214,390000,3,2,0.03320323221676932,0
961,380000,3,2,0.002425976611097288,1
4340,380000,6,2,0.039911999033515395,0
7704,380000,2,2,0.06368720764693919,0
9105,380000,6,2,0.03197076128558791,1
10179,380000,2,2,0.04432734746252662,0
19181,380000,6,2,0.03782010618871965,0
19518,380000,3,3,0.024366300341285275,1
22606,380000,6,2,0.040759048048135044,0
28845,380000,2,2,0.06477084862857777,0
4347,370000,3,2,0.9144612476370511,0
6890,370000,3,4,0.020202831124938987,1
11835,370000,2,2,0.11491731961736289,0
15696,370000,3,2,0.6236446309898566,0
20648,370000,2,2,0.029625744943871875,1
221,360000,3,2,0.04682262539274118,1
713,360000,2,2,0.15491431451612903,0
989,360000,6,2,0.09132020431465565,0
1148,360000,2,2,0.19817177242019862,0
1497,360000,3,2,0.034600797924899854,1
2293,360000,3,2,1.3495749026727886,0
2711,360000,2,2,0.0045841519318926,0
2751,360000,2,2,0.0,0
3154,360000,2,2,0.6791557591623036,0
4408,360000,2,2,0.03047034764826176,0
5625,360000,3,3,0.04756838905775076,1
5719,360000,2,2,0.0,0
5768,360000,2,2,0.0,0
7318,360000,5,2,0.0,1
8577,360000,4,3,0.09899356956813841,1
8793,360000,2,2,0.2769641868126335,0
9029,360000,3,2,0.4234487487144326,0
9708,360000,2,2,1.2450704225352112,0
9756,360000,6,7,0.053503026069430686,0
10012,360000,3,2,0.022371370142145793,0
10637,360000,3,2,0.141120191349412,0
10853,360000,3,2,0.4999000199960008,1
11847,360000,2,1,0.602128715739562,0
11881,360000,2,2,0.27395644283121595,0
12706,360000,2,2,0.3106994384071184,0
13570,360000,2,2,0.4613078508525389,1
13840,360000,2,2,0.0,0
14504,360000,2,2,0.49975012493753124,0
14689,360000,3,3,0.0,1
15416,360000,3,3,0.020124945132345886,1
15419,360000,6,3,0.0,1
15512,360000,2,2,1.4779445202364712,0
15823,360000,2,2,0.0,1
