CLIENT_ID,LIMIT_BAL,DEFAULT,CreditLimitRank
2197,1000000,0,1
14911,800000,0,2
17994,800000,0,2
24299,780000,0,4
28686,780000,0,4
21358,760000,0,6
3733,750000,0,7
4602,750000,0,7
10084,750000,0,7
13179,750000,0,7
13876,740000,1,11
25105,740000,0,11
24665,730000,0,13
27532,730000,0,13
10641,720000,0,15
26090,720000,0,15
26897,720000,1,15
3402,710000,1,18
3689,710000,0,18
4033,710000,0,18
5877,710000,0,18
21105,710000,0,18
23072,710000,0,18
812,700000,0,24
7309,700000,0,24
8443,700000,0,24
14292,700000,0,24
20768,700000,0,24
21303,700000,0,24
23421,700000,0,24
27434,700000,0,24
23077,690000,0,32
1232,680000,0,33
4753,680000,0,33
19238,680000,1,33
21364,680000,0,33
1096,670000,0,37
6077,670000,0,37
26154,670000,0,37
8875,660000,0,40
13040,660000,0,40
21301,660000,0,40
23419,650000,0,43
26010,650000,0,43
29828,650000,0,43
4858,640000,0,46
5807,640000,0,46
6778,640000,0,46
6952,640000,0,46
8278,640000,0,46
21117,640000,0,46
28532,640000,0,46
13,630000,0,53
556,630000,0,53
1348,630000,0,53
9733,630000,0,53
10889,630000,1,53
17368,630000,0,53
29853,630000,0,53
528,620000,1,60
9306,620000,0,60
10954,620000,0,60
11986,620000,0,60
22748,620000,0,60
22783,620000,0,60
23873,620000,0,60
24387,620000,0,60
29708,620000,0,60
738,610000,0,69
6634,610000,0,69
6863,610000,0,69
11527,610000,0,69
11960,610000,0,69
13435,610000,0,69
23007,610000,0,69
26205,610000,0,69
29105,610000,0,69
29372,610000,0,69
29929,610000,0,69
452,600000,1,80
2222,600000,0,80
3314,600000,0,80
9133,600000,0,80
11131,600000,0,80
14076,600000,1,80
15374,600000,0,80
15584,600000,1,80
20245,600000,0,80
22745,600000,0,80
23395,600000,0,80
23430,600000,0,80
23699,600000,0,80
24532,600000,0,80
25465,600000,0,80
26114,600000,0,80
6909,590000,0,96
15057,590000,0,96
19096,590000,1,96
22298,590000,0,96
24662,590000,0,96
